id,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
4,1546,0,0.5,1,18,1,25,0.5,96,8,20,295,1752,3893,10,0,7,1,1,0,moyenne_gamme
5,1434,0,1.4,0,11,1,49,0.5,108,6,18,749,810,1773,15,8,7,1,0,1,moyenne_gamme
9,1111,1,2.9,1,9,1,25,0.6,101,5,19,556,876,3485,11,9,10,1,1,0,moyenne_gamme
10,1520,0,0.5,0,1,0,25,0.5,171,3,20,52,1009,651,6,0,5,1,0,1,moyenne_gamme
14,1190,1,2.2,1,5,0,19,0.9,158,5,15,227,1856,992,13,0,16,1,1,0,moyenne_gamme
15,630,0,1.8,0,8,1,51,0.9,193,8,9,1315,1323,2751,17,6,3,1,1,0,moyenne_gamme
17,1985,0,0.5,1,14,1,26,1.0,163,2,17,613,1511,2083,13,3,14,1,1,0,moyenne_gamme
18,1042,0,2.9,0,5,1,48,0.2,186,4,15,335,532,2187,9,2,5,1,0,0,moyenne_gamme
21,968,0,0.6,0,8,1,7,0.7,151,1,17,504,1930,1357,15,1,16,1,1,0,moyenne_gamme
26,1025,0,1.6,1,6,1,43,0.7,122,3,16,1003,1306,557,15,10,14,1,1,1,moyenne_gamme
31,1981,0,2.9,1,2,1,11,0.3,184,8,13,876,1408,2383,11,2,18,1,0,0,moyenne_gamme
32,1380,0,2.6,1,15,1,56,0.5,187,8,16,501,643,926,9,5,7,1,0,0,moyenne_gamme
34,1201,1,2.2,1,10,0,49,0.8,175,4,20,722,992,824,18,13,9,1,0,0,moyenne_gamme
38,1715,0,0.6,1,1,1,28,0.4,112,6,16,162,847,1786,19,2,12,1,0,1,moyenne_gamme
44,1388,1,0.6,1,12,1,17,0.6,174,5,19,153,972,324,14,0,3,1,0,0,moyenne_gamme
45,1972,0,2.1,0,2,0,48,0.6,188,3,14,480,748,366,5,3,17,1,1,0,moyenne_gamme
46,1411,1,1.7,0,9,1,57,0.5,80,7,17,700,1234,1228,17,3,7,1,1,0,moyenne_gamme
48,1653,0,0.7,1,1,1,13,0.5,114,4,15,1585,1896,2617,16,4,18,1,1,1,moyenne_gamme
49,916,0,2.0,1,9,0,33,0.7,142,7,20,65,1867,1798,11,5,5,1,1,0,moyenne_gamme
52,632,0,1.2,0,6,1,33,0.5,101,2,10,705,992,837,16,4,3,1,0,0,moyenne_gamme
54,900,0,1.9,0,11,0,47,0.2,150,8,14,97,663,1440,14,2,4,1,1,1,moyenne_gamme
55,1630,1,0.6,1,4,0,20,0.9,153,7,10,1131,1360,3470,17,6,4,1,1,0,moyenne_gamme
56,1596,1,1.4,1,6,0,24,0.3,174,5,15,359,1022,1251,18,15,2,1,1,1,moyenne_gamme
57,1272,1,0.5,0,9,1,54,0.6,133,8,11,1813,1871,3181,10,6,14,1,0,1,moyenne_gamme
59,1111,0,1.4,1,10,0,15,0.5,198,7,14,550,666,1630,13,5,2,1,0,1,moyenne_gamme
60,1889,1,2.9,0,15,0,25,0.3,90,2,17,443,755,3689,9,6,2,1,0,1,moyenne_gamme
65,1533,1,1.2,1,1,1,22,0.6,172,3,15,22,1345,1248,9,2,9,1,0,0,moyenne_gamme
67,1847,1,1.6,0,10,1,28,0.2,111,4,14,1497,1508,1378,5,2,18,1,0,1,moyenne_gamme
70,1705,1,2.8,0,2,1,23,1.0,122,3,20,1560,1808,1676,8,6,20,1,1,1,moyenne_gamme
73,1102,1,1.2,0,5,1,40,1.0,175,3,14,756,882,2734,15,12,4,1,1,0,moyenne_gamme
75,1810,1,1.1,1,6,0,63,0.9,151,1,19,582,1752,3414,18,10,10,1,0,0,moyenne_gamme
84,968,0,0.5,1,13,1,61,0.1,168,8,16,91,1585,858,8,7,11,1,1,0,moyenne_gamme
86,1626,0,2.7,0,3,0,20,0.1,164,2,17,1095,1499,454,8,4,6,1,1,0,moyenne_gamme
88,1182,0,1.7,0,4,1,42,0.9,189,3,20,659,661,1633,14,3,6,1,0,1,moyenne_gamme
89,1982,1,0.8,1,9,0,48,0.4,98,6,16,183,709,3035,10,4,9,1,0,1,moyenne_gamme
